姓名,地區,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任,總收入,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入
江昭儀,彰化縣第03選區,男,1943,民主進步黨,79969,44.10%,,否,6599901,5056115,1432000,0,100000,11000,786
呂玉玲,桃園縣第05選區,女,1961,中國國民黨,78504,45.29%,*,否,7237293,2572000,1421280,3000000,230000,14000,13
黃仁杼,桃園縣第03選區,男,1954,民主進步黨,72395,39.92%,,是,5713172,4240400,1330600,0,138000,4000,172
阮昭雄,臺北市第08選區,男,1970,民主進步黨,53917,29.00%,,否,4420385,2566378,1328900,500000,0,25000,107
曾文振,新北市第07選區,男,1952,無黨籍及未經政黨推薦,21411,12.87%,,否,5140646,3824700,1178000,0,60000,77800,146
鄭天財Sra．Kacaw,平原原住民,男,1956,中國國民黨,23480,23.92%,*,否,7649772,3399120,1170000,3000000,70000,10000,652
沈發惠,新北市第12選區,男,1966,民主進步黨,63122,35.91%,,否,5127603,3666290,1145000,0,300000,16000,313
劉櫂豪,臺東縣第01選區,男,1967,民主進步黨,31685,41.59%,*,否,6474806,3512536,1088500,1690000,130000,53500,270
李世斌,屏東縣第02選區,男,1962,民主進步黨,75986,48.49%,,否,6417600,5082400,1060000,0,275000,0,200
李俊俋,嘉義市第01選區,男,1965,民主進步黨,72343,48.82%,*,否,11799630,10549954,1040000,0,190000,19500,176
黎建南,高雄市第03選區,男,1950,親民黨,7296,3.51%,,否,1415374,333000,999985,0,0,82350,39
許又銘,新北市第09選區,男,1970,民主進步黨,50656,27.55%,,否,6233882,3980750,947000,1000000,0,295563,10569
黃秀芳,彰化縣第02選區,女,1971,民主進步黨,77158,44.53%,,否,4976411,3752317,914000,190000,105000,15000,94
吳平娥,桃園縣第05選區,女,1973,無黨籍及未經政黨推薦,15779,9.10%,,否,1220500,367000,823500,0,30000,0,0
蕭景田,彰化縣第04選區,男,1954,中國國民黨,91207,49.76%,,是,5498136,1706500,780000,3000000,0,11000,636
彭紹瑾,新竹縣第01選區,男,1957,民主進步黨,102953,37.04%,,是,2866162,1917600,750000,4750,145000,48000,812
江義雄,嘉義市第01選區,男,1944,中國國民黨,71906,48.52%,,是,9042142,3129850,732000,5000000,180000,0,292
賴燕雪,南投縣第02選區,女,1964,民主進步黨,66447,45.68%,,否,2606384,1817999,685000,1900,100000,1200,285
顏聖冠,臺北市第05選區,女,1968,民主進步黨,77013,42.42%,,否,2023401,1336050,648800,0,0,38328,223
周雅淑,新北市第06選區,女,1966,民主進步黨,73950,45.84%,,否,4207654,3554000,639985,0,0,13400,269
高建智,新北市第11選區,男,1953,民主進步黨,66506,33.43%,,否,5068837,3420070,616660,1001425,20000,10600,82
楊應雄,金門縣第01選區,男,1957,中國國民黨,12435,32.95%,*,否,4699527,1077000,600000,3000000,0,22000,527
童瑞陽,臺中市第03選區,男,1954,民主進步黨,64601,37.38%,,否,4789061,4044711,590000,0,75000,79000,350
何博文,新北市第01選區,男,1973,民主進步黨,90125,42.44%,,否,15428756,13720094,572875,75050,109000,950801,936
楊烈,臺北市第01選區,男,1952,民主進步黨,82040,40.55%,,否,3508563,2910700,553000,0,0,44800,63
楊曜,澎湖縣第01選區,男,1966,民主進步黨,23823,53.43%,*,否,6297662,5552300,510000,0,230000,5000,362
邱于軒,高雄市第04選區,女,1982,中國國民黨,58261,33.96%,,否,3722738,187200,500000,3000000,10000,24913,625
吳成典,金門縣第01選區,男,1957,新黨,10678,28.30%,,否,2259700,1759700,500000,0,0,0,0
陳清龍,臺中市第08選區,男,1965,親民黨,14789,9.57%,,否,4242060,3658000,470000,0,110000,4000,60
周賜海,臺南市第02選區,男,1958,中國國民黨,62794,29.60%,,否,5117000,1557000,460000,3100000,0,0,0
林正杰,臺東縣第01選區,男,1952,無黨籍及未經政黨推薦,2365,3.10%,,否,1608033,1150000,458000,0,0,0,33
杜文卿,苗栗縣第01選區,男,1954,民主進步黨,56179,38.50%,,否,1710400,1111600,445000,0,0,153800,0
簡余晏,臺北市第03選區,女,1967,民主進步黨,89417,42.30%,,否,13695222,12310718,439900,1900,10000,932704,0
簡東明Uliw．Qaljupayare,山原原住民,男,1951,中國國民黨,28581,24.48%,*,是,3778638,312000,400000,3000000,66000,0,638
龔瑞維,屏東縣第03選區,男,1962,中國國民黨,45314,32.23%,,否,11350742,5776816,398000,5000000,56000,119800,126
李順涼,臺中市第02選區,男,1956,民主進步黨,79730,40.20%,,否,2242144,1767836,380000,0,85000,9200,108
張智超,花蓮縣第01選區,男,1954,無黨籍及未經政黨推薦,35884,27.87%,,否,1335000,679000,350000,0,160000,146000,0
潘翰聲,臺北市第07選區,男,1970,綠黨,43449,23.99%,,否,2000183,1543781,337000,0,65000,54340,62
劉邦鉉,桃園縣第05選區,男,1968,無黨籍及未經政黨推薦,15644,9.02%,,否,458004,202000,256000,0,0,0,4
劉文雄,桃園縣第03選區,男,1954,親民黨,9816,5.41%,,否,900596,624000,250000,0,0,26500,96
段緯宇,臺中市第07選區,男,1955,親民黨,6965,3.46%,,否,1300519,1080500,220000,0,0,0,19
車淑娟,臺中市第08選區,女,1964,無黨籍及未經政黨推薦,8761,5.67%,,否,538999,326000,212996,0,0,0,3
張耿輝,基隆市第01選區,男,1961,無黨籍及未經政黨推薦,12332,5.86%,,否,635087,425000,210000,0,0,0,87
瓦歷斯‧貝林Walis‧Perin,山原原住民,男,1952,親民黨,15533,13.30%,,否,2125705,1882066,202000,0,28600,13000,39
陳振盛,臺北市第06選區,男,1950,親民黨,11966,6.62%,,否,942600,742600,200000,0,0,0,0
王雲怡,臺北市第06選區,女,1969,台灣國民會議,2128,1.17%,,否,213000,13000,200000,0,0,0,0
王安娜,新北市第02選區,女,1966,台灣國民會議,1292,0.66%,,否,200000,0,200000,0,0,0,0
楊程欽,新北市第06選區,男,1967,台灣國民會議,1229,0.76%,,否,200000,0,200000,0,0,0,0
馬躍‧比吼Mayaw‧Biho,平原原住民,男,1969,無黨籍及未經政黨推薦,4553,4.63%,,否,3994020,3574778,172500,0,30000,216458,284
陳福民,臺北市第06選區,男,1936,無黨籍及未經政黨推薦,2286,1.26%,,否,1227663,1056600,171000,0,0,0,63
歐崇敬,臺南市第01選區,男,1967,中國國民黨,46422,24.27%,,否,7756742,2519588,150000,5000000,0,86142,1012
李宗智,臺南市第01選區,男,1951,親民黨,24159,12.63%,,否,3593110,3443100,150000,0,0,0,10
曾智勇,山原原住民,男,1962,民主進步黨,9968,8.54%,,否,3065000,869000,146000,2000000,50000,0,0
陳致中,高雄市第09選區,男,1979,無黨籍及未經政黨推薦,48941,26.63%,,否,11338288,11012224,138800,0,0,186986,278
余宗珮,新北市第01選區,女,1975,親民黨,9359,4.40%,,否,123000,13000,110000,0,0,0,0
忠仁．達祿斯,平原原住民,男,1961,無黨籍及未經政黨推薦,6757,6.88%,,否,850019,750000,100000,0,0,0,19
洪國治,平原原住民,男,1962,無黨籍及未經政黨推薦,10524,10.72%,,否,527200,427200,100000,0,0,0,0
王瑄,新竹市第01選區,女,1971,無黨籍及未經政黨推薦,7387,3.22%,,否,373000,273000,100000,0,0,0,0
張志傑,臺北市第01選區,男,1982,台灣國民會議,2236,1.10%,,否,230000,130000,100000,0,0,0,0
胡鎮埔,桃園縣第06選區,男,1948,無黨籍及未經政黨推薦,53138,31.27%,,否,2533215,2457100,76000,0,0,0,115
陳財能,連江縣第01選區,男,1965,無黨籍及未經政黨推薦,168,3.32%,,否,164329,97426,50000,0,0,16888,15
笛布斯．顗賚,平原原住民,女,1972,無黨籍及未經政黨推薦,8841,9.00%,,否,556100,523100,33000,0,0,0,0
楊長鎮,苗栗縣第02選區,男,1963,民主進步黨,47022,28.34%,,否,4461844,3251900,25000,1000950,85000,98519,475
王鐘銘,新北市第01選區,男,1978,綠黨,5038,2.37%,,否,510698,383315,10000,0,0,117383,0
林震洋,高雄市第03選區,男,1979,綠黨,3448,1.66%,,否,327401,294030,10000,0,0,23348,23
傅家賢,新竹縣第01選區,男,1966,中華民國臺灣基本法連線,1984,0.71%,,否,10000,0,10000,0,0,0,0
施月英,彰化縣第01選區,女,1975,綠黨,2717,1.51%,,否,21000,12000,9000,0,0,0,0
蔡智豪,臺中市第04選區,男,1973,綠黨,3986,2.00%,,否,187800,160800,2000,0,0,25000,0
周志文,臺北市第05選區,男,1980,人民民主陣線,461,0.25%,,否,185500,183500,2000,0,0,0,0
夏林清,臺北市第02選區,女,1953,人民民主陣線,1364,0.68%,,否,274488,229988,1000,0,13000,30500,0
