地區,姓名,性別,出生年次,推薦政黨,得票數,得票率,當選註記,是否現任,總收入,個人捐贈收入,營利事業捐贈收入,政黨捐贈收入,人民團體捐贈收入,匿名捐贈收入,其他收入
高雄市第03選區,李昆澤,男,1964,民主進步黨,49392,42.7%,,是,17865828,8901508,8103000,300000,552000,9000,320
臺中縣第05選區,郭俊銘,男,1955,民主進步黨,53012,42.31%,,是,18879864,10199420,7983650,300000,356000,40000,794
臺北市第08選區,賴士葆,男,1951,中國國民黨,104257,71.81%,*,是,19352793,6358056,7870000,5000000,0,118166,6571
桃園縣第04選區,黃宗源,男,1950,民主進步黨,47966,37.07%,,是,10165489,1627400,7669951,300000,560000,8000,138
高雄市第05選區,郭玟成,男,1955,民主進步黨,70576,51.98%,*,是,14144306,6010070,7550200,300000,284000,0,36
高雄市第04選區,黃昭輝,男,1946,民主進步黨,67663,46.61%,,是,17140968,8667784,7313000,300000,849600,9000,1584
高雄縣第02選區,林益世,男,1968,中國國民黨,84659,55.27%,*,是,17605406,4296200,7090000,6000000,216000,0,3206
臺北縣第04選區,李鴻鈞,男,1959,中國國民黨,77122,51.73%,*,是,19763231,7701000,6930000,5000000,130000,1668,563
臺中市第03選區,何敏豪,男,1958,民主進步黨,59969,43.21%,,是,15649601,7729600,6917200,300000,648000,54200,601
臺中市第02選區,謝明源,男,1952,民主進步黨,60582,36.06%,,是,17936144,9884400,6766026,300000,965600,19200,918
高雄市第03選區,侯彩鳳,女,1952,中國國民黨,56826,49.13%,*,是,21385044,8778200,6750000,5100000,743000,9413,4431
高雄市第02選區,管碧玲,女,1956,民主進步黨,65604,50.53%,*,是,22357372,14137200,6717088,300000,735000,463500,4584
臺北市第04選區,蔡正元,男,1953,中國國民黨,105375,62.25%,*,是,15198086,3037000,6652000,5000000,505000,3000,1086
苗栗縣第01選區,李乙廷,男,1954,中國國民黨,64817,58.01%,*,否,14530482,2680000,6570000,5100000,180000,0,482
桃園縣第01選區,陳根德,男,1956,中國國民黨,75973,61.76%,*,是,17358161,4869800,6558000,5000000,930000,0,361
臺北市第02選區,王世堅,男,1960,民主進步黨,71119,45.78%,,是,10805404,3802000,6503388,500000,0,0,16
臺北市第04選區,徐國勇,男,1958,民主進步黨,60004,35.44%,,是,21680318,12123200,6332100,1155000,370000,1491500,208518
臺南縣第01選區,洪玉欽,男,1943,中國國民黨,68796,44.74%,,是,17464204,5173300,6180000,6100000,10000,100,804
嘉義縣第01選區,蔡啟芳,男,1954,民主進步黨,55860,42.52%,,是,11056131,4496000,6065200,300000,194800,0,131
臺南市第02選區,高思博,男,1968,中國國民黨,82566,48.35%,,是,23413035,4480000,5930000,13000000,0,0,3035
基隆市第01選區,謝國樑,男,1975,中國國民黨,98926,67.79%,*,是,12561217,1620000,5910000,5000000,30000,0,1217
澎湖縣第01選區,林炳坤,男,1948,無黨團結聯盟,19584,50.71%,*,是,9414268,3550000,5864250,0,0,0,18
臺北縣第03選區,朱俊曉,男,1963,中國國民黨,73286,48.24%,,是,11616032,698888,5805000,5000000,110000,0,2144
臺東縣第01選區,黃健庭,男,1959,中國國民黨,34794,61.09%,*,是,16191143,3754168,5750000,5000000,1682000,0,4975
桃園縣第03選區,彭添富,男,1951,民主進步黨,49305,36.32%,,是,11616640,4053100,5732300,1250000,581000,0,240
臺南市第02選區,賴清德,男,1959,民主進步黨,88172,51.64%,*,是,32055490,24316028,5711000,300000,1706000,22000,462
彰化縣第01選區,陳進丁,男,1946,無黨團結聯盟,50771,33.95%,,是,8809987,2812000,5677942,0,320000,0,45
高雄市第02選區,羅世雄,男,1969,中國國民黨,63410,48.84%,,是,18453507,6076800,5658324,5000000,1702000,15000,1383
臺中市第01選區,蔡明憲,男,1941,民主進步黨,53471,38.7%,,否,12150443,6038840,5478200,300000,116000,11000,200403
臺北縣第05選區,黃志雄,男,1976,中國國民黨,61948,52.32%,*,是,15666125,4624520,5468800,5500000,60750,10600,1455
雲林縣第02選區,劉建國,男,1969,民主進步黨,61703,38.29%,,否,8259294,2493100,5446086,300000,0,100,8
臺北縣第07選區,吳清池,男,1949,中國國民黨,65752,55.82%,*,是,14074803,3544768,5430000,5000000,100000,0,35
臺中縣第05選區,楊瓊瓔,女,1964,中國國民黨,72270,57.68%,*,是,13615723,2907000,5299050,5000000,406000,0,3673
桃園縣第01選區,李鎮楠,男,1953,民主進步黨,45257,36.79%,,是,7810410,2067000,5293000,300000,130000,20000,410
彰化縣第04選區,陳朝容,男,1956,無黨籍及未經政黨推薦,20690,14%,,是,7536682,2477000,5059600,0,0,0,82
新竹市第01選區,鄭宏輝,男,1969,民主進步黨,62334,38.12%,,否,14895317,4412200,4985700,4750000,690800,56000,617
高雄縣第01選區,鍾紹和,男,1956,中國國民黨,72309,53.55%,*,是,16136663,5718200,4976000,5100000,312000,30000,463
屏東縣第02選區,王進士,男,1948,中國國民黨,69027,56.82%,*,否,14566609,4034438,4901000,5100000,328000,2300,200871
屏東縣第03選區,潘孟安,男,1963,民主進步黨,59896,51.3%,*,是,13196691,7876800,4772000,300000,216000,31000,891
